Name,Amount,Link
Cherry MX Switches,6,https://www.adafruit.com/product/4952
DSA Keycaps,6,https://www.adafruit.com/product/4997?srsltid=AfmBOopDyFMg5RxxF-Evr6nBGQDyHVTH-dyfbuGdqPaHn7PWQv5c8-_Q
M3 16mm SHCS Bolts,5,https://accu-components.com/us/metric-cap-head-screws/3822-SSCF-M3-16-A2?srsltid=AfmBOopF9mJr7xpYuq4pjtawdEtUoNOIrShH98uHL0dEVVrOUcjwKY9b
M3 12mm SHCS Bolt,1,https://accu-components.com/us/metric-cap-head-screws/3820-SSCF-M3-12-A2
M3 Hex Nuts,6,https://accu-components.com/us/hexagon-nuts/7888-HPN-M3-A2
In4148 DO-35 Diodes,7,https://www.adafruit.com/product/1641?srsltid=AfmBOoragpyopdxH587co8w9Kl0W3cZMjn9bZIbP4UEYHfyiLFoC3nJv
WS2812B RGB LEDS,3,https://www.adafruit.com/product/4684?srsltid=AfmBOop-1QOhPkmYg3AzDhOUYgR5UXpQo03Vo2tT4txB9Lo8MBpf2Z1e
0.91 OLED Display,1,https://www.aliexpress.us/item/3256807215355950.html?src=google&pdp_npi=4%40dis%21USD%211.75%210.87%21%21%21%21%21%40%2112000040595474261%21ppc%21%21%21&src=google&albch=shopping&acnt=708-803-3821&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=UneMJZVf&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256807215355950&ds_e_product_merchant_id=5377576114&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=19558607238&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=19566915268&gclid=Cj0KCQiAk6rNBhCxARIsAN5mQLsg54LCOzQhSObuPu2m54rcTcgSLZ9bMY2AuwFurhrSghMghQPbqsoaAguWEALw_wcB&gatewayAdapt=glo2usa
EC11 Encoder,1,https://www.adafruit.com/product/377
Seeed Studio XIAO RP2040,1,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html
3d Printed Case,1,N/A
